"","V1","bits"
"1",308,"308.x1.GQI126"
"2",310,"310.x1.GQI126"
"3",312,"312.x1.GQI126"
"4",313,"313.x1.GQI126"
"5",322,"322.x1.GQI126"
"6",323,"323.x1.GQI126"
"7",324,"324.x1.GQI126"
"8",325,"325.x1.GQI126"
"9",330,"330.x1.GQI126"
"10",338,"338.x1.GQI126"
"11",350,"350.x1.GQI126"
"12",351,"351.x1.GQI126"
"13",352,"352.x1.GQI126"
"14",353,"353.x1.GQI126"
"15",354,"354.x1.GQI126"
"16",356,"356.x1.GQI126"
"17",357,"357.x1.GQI126"
"18",358,"358.x1.GQI126"
"19",359,"359.x1.GQI126"
"20",360,"360.x1.GQI126"
"21",361,"361.x1.GQI126"
"22",362,"362.x1.GQI126"
"23",363,"363.x1.GQI126"
"24",364,"364.x1.GQI126"
"25",365,"365.x1.GQI126"
"26",367,"367.x1.GQI126"
"27",368,"368.x1.GQI126"
"28",369,"369.x1.GQI126"
"29",370,"370.x1.GQI126"
"30",372,"372.x1.GQI126"
"31",374,"374.x1.GQI126"
"32",376,"376.x1.GQI126"
"33",377,"377.x1.GQI126"
"34",378,"378.x1.GQI126"
"35",379,"379.x1.GQI126"
"36",381,"381.x1.GQI126"
"37",387,"387.x1.GQI126"
"38",389,"389.x1.GQI126"
