#,#,#,#,#,#
1,004.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,007.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,008.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,009.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,010.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,011.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,012.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,013.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,014.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,015.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,016.x1.GQI199,800.x1.GQI122,400.x1.GQI122,0,0
1,017.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,018.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,020.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,021.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,022.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,023.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,028.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,029.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,030.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,031.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,032.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,033.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,034.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,035.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,037.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,038.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,039.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,040.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,041.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,042.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,044.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,045.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,046.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,047.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,048.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,049.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,050.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,051.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,052.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,053.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,054.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,055.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,056.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,057.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,058.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,059.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,060.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,062.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,063.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,064.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,065.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,066.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,067.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,068.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,069.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,070.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,071.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,073.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,074.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,075.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,076.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,077.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,078.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,079.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,080.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,081.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,082.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,083.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,084.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,085.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,086.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,087.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,088.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,089.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,090.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,091.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,094.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,097.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,099.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,102.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,103.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,105.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,106.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,107.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,108.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,109.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,112.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,113.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,114.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,115.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,116.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,117.x1.GQI119,800.x1.GQI122,400.x1.GQI122,0,0
1,118.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,119.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,120.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,122.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,123.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,134.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,136.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,137.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,138.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,142.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,143.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,144.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,151.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,152.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,153.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,154.x1.GQI120,800.x1.GQI122,400.x1.GQI122,0,0
1,159.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,163.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,164.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,173.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,179.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,180.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,182.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,183.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
1,185.x1.GQI121,800.x1.GQI122,400.x1.GQI122,0,0
