"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","consensus_3",79,".","A","C",27009,".","AC=71;AF=0.231;AN=308;BaseQRankSum=-4.596;ClippingRankSum=0.000;DP=4691;ExcessHet=20.8626;FS=0.000;InbreedingCoeff=-0.1950;MLEAC=71;MLEAF=0.231;MQ=41.97;MQRankSum=-3.804;QD=13.27;ReadPosRankSum=-1.962;SOR=0.046","GT:AD:DP:GQ:PL"
"2","consensus_16",78,".","A","C",71753.1,".","AC=153;AF=0.497;AN=308;BaseQRankSum=-0.088;ClippingRankSum=0.000;DP=4405;ExcessHet=161.6567;FS=0.000;InbreedingCoeff=-0.6532;MLEAC=153;MLEAF=0.497;MQ=41.63;MQRankSum=5.825;QD=18.37;ReadPosRankSum=-1.391;SOR=0.592","GT:AD:DP:GQ:PL"
"3","consensus_21",38,".","T","C",17444.9,".","AC=71;AF=0.228;AN=312;BaseQRankSum=3.185;ClippingRankSum=0.000;DP=4916;ExcessHet=4.7353;FS=0.000;InbreedingCoeff=-0.0595;MLEAC=69;MLEAF=0.221;MQ=33.94;MQRankSum=-60.000;QD=9.36;ReadPosRankSum=0.981;SOR=0.052","GT:AD:DP:GQ:PL"
"4","consensus_22",56,".","T","A",61518.7,".","AC=91;AF=0.290;AN=314;BaseQRankSum=-0.724;ClippingRankSum=-0.000;DP=6257;ExcessHet=32.3346;FS=0.000;InbreedingCoeff=-0.2580;MLEAC=91;MLEAF=0.290;MQ=41.87;MQRankSum=-18.584;QD=17.87;ReadPosRankSum=0.604;SOR=0.147","GT:AD:DP:GQ:PL"
"5","consensus_23",39,".","T","C",149795,".","AC=155;AF=0.491;AN=316;BaseQRankSum=2.386;ClippingRankSum=-0.002;DP=8670;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.8641;MLEAC=154;MLEAF=0.487;MQ=41.94;MQRankSum=-8.366;QD=17.67;ReadPosRankSum=0.548;SOR=0.679","GT:AD:DP:GQ:PL"
"6","consensus_24",27,".","G","A",193782,".","AC=156;AF=0.494;AN=316;BaseQRankSum=3.271;ClippingRankSum=-0.016;DP=11314;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.8699;MLEAC=156;MLEAF=0.494;MQ=41.94;MQRankSum=-6.595;QD=17.64;ReadPosRankSum=1.806;SOR=0.662","GT:AD:DP:GQ:PL"
"7","consensus_28",84,".","T","C",27655,".","AC=63;AF=0.201;AN=314;BaseQRankSum=1.682;ClippingRankSum=0.000;DP=4481;ExcessHet=37.0909;FS=0.000;InbreedingCoeff=-0.2482;MLEAC=63;MLEAF=0.201;MQ=41.97;MQRankSum=-5.107;QD=12.47;ReadPosRankSum=0.355;SOR=0.056","GT:AD:DP:GQ:PL"
"8","consensus_35",52,".","A","G",20461.1,".","AC=62;AF=0.204;AN=304;BaseQRankSum=4.403;ClippingRankSum=0.000;DP=4480;ExcessHet=26.3181;FS=0.000;InbreedingCoeff=-0.2233;MLEAC=62;MLEAF=0.204;MQ=34.15;MQRankSum=-53.647;QD=11.20;ReadPosRankSum=1.540;SOR=0.061","GT:AD:DP:GQ:PL"
"9","consensus_46",38,".","T","A",133210,".","AC=139;AF=0.440;AN=316;BaseQRankSum=0.953;ClippingRankSum=-0.007;DP=11338;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.7569;MLEAC=139;MLEAF=0.440;MQ=41.88;MQRankSum=-12.720;QD=12.93;ReadPosRankSum=1.262;SOR=0.269","GT:AD:DP:GQ:PL"
"10","consensus_51",83,".","A","G",44774.4,".","AC=77;AF=0.248;AN=310;BaseQRankSum=3.017;ClippingRankSum=-0.000;DP=6021;ExcessHet=11.6674;FS=0.000;InbreedingCoeff=-0.1335;MLEAC=76;MLEAF=0.245;MQ=39.45;MQRankSum=61.856;QD=16.38;ReadPosRankSum=0.875;SOR=0.075","GT:AD:DP:GQ:PL"
"11","consensus_53",76,".","C","T",50191.7,".","AC=145;AF=0.477;AN=304;BaseQRankSum=-2.048;ClippingRankSum=0.000;DP=3029;ExcessHet=0.0014;FS=0.000;InbreedingCoeff=0.2448;MLEAC=143;MLEAF=0.470;MQ=41.98;MQRankSum=-3.595;QD=24.93;ReadPosRankSum=1.251;SOR=0.512","GT:AD:DP:GQ:PL"
"12","consensus_55",47,".","T","G",96495.8,".","AC=147;AF=0.468;AN=314;BaseQRankSum=-0.233;ClippingRankSum=-0.006;DP=8025;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.8589;MLEAC=148;MLEAF=0.471;MQ=41.86;MQRankSum=-6.305;QD=12.92;ReadPosRankSum=1.192;SOR=0.298","GT:AD:DP:GQ:PL"
"13","consensus_57",37,".","C","T",190382,".","AC=155;AF=0.491;AN=316;BaseQRankSum=-0.945;ClippingRankSum=-0.002;DP=13323;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9367;MLEAC=155;MLEAF=0.491;MQ=41.89;MQRankSum=-20.719;QD=14.51;ReadPosRankSum=-0.072;SOR=0.434","GT:AD:DP:GQ:PL"
"14","consensus_62",38,".","T","C",41917.6,".","AC=134;AF=0.441;AN=304;BaseQRankSum=8.037;ClippingRankSum=0.000;DP=4364;ExcessHet=0.9676;FS=0.000;InbreedingCoeff=0.0445;MLEAC=136;MLEAF=0.447;MQ=30.38;MQRankSum=-62.802;QD=13.50;ReadPosRankSum=1.791;SOR=0.496","GT:AD:DP:GQ:PL"
